[2024-01-22 02:07:51,471][ WARN][    iva_config.cc:143 ] update vas url failed. Fault, no vas projectid or iva endpoint
[2024-01-22 02:07:51,472][ WARN][         timer.cc:208 ] Schedule timer failed, timer is not running.
[2024-01-22 02:07:54,243][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 02:07:54,243][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 02:07:54,249][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 02:07:54,250][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 02:07:54,256][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 02:07:54,256][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 02:07:54,263][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 02:07:54,263][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 02:07:54,270][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 02:07:54,270][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 02:07:54,302][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 02:07:54,302][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 02:07:54,322][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 02:07:54,323][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 02:07:54,330][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 02:07:54,330][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 02:07:54,337][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 02:07:54,337][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 02:07:54,345][ WARN][      flowunit.cc:515 ] generic is not match, you can use a-z, A-Z, 1-9, _ and uppercase the first character.
[2024-01-22 02:07:54,345][ WARN][      flowunit.cc:396 ] check group type failed , your group_type is generic, the right group_type is a or a/b , for instance input or input/http.
[2024-01-22 02:08:42,501][ WARN][ffmpeg_video_muxer.cc:78  ] Success: video stream has been written to /home/rock/modelbox/workspace/single_pig_pose/hilens_data_dir/hand_test_result.mp4
[2024-01-22 02:08:42,503][ERROR][flow_scheduler.cc:438 ] the scheduler caught an error : Stop operation
